File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6c6ec0ef-2532-4021-8c72-74f82fe5fdbb	f7922549-c348-4594-a229-af9cbe38ddc6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-FP-8631	TCGA-FP-8631-01A	Primary Tumor
3d0c8d57-b6a8-49c2-840a-fcbd75350d77	b120d22d-2171-47b5-b510-7498b0c1178b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-A6EX	TCGA-D7-A6EX-01A	Primary Tumor
c4348aa3-6cac-4403-a53c-5ff39ba2954a	7b4deda0-72f1-422a-93b9-36bc0cc8079a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-7196	TCGA-BR-7196-01A	Primary Tumor
5fd89019-fec3-4ff9-ba43-52dc16721c13	744526fc-95b3-452e-8556-21700b56953d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CD-8527	TCGA-CD-8527-01A	Primary Tumor
8c401a10-c3ca-425a-ba31-97fb7f4958f1	75942e8d-e11f-47e0-a255-1377abcaf3b6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-6456	TCGA-BR-6456-01A	Primary Tumor
043d76e7-39ae-4abe-a87c-50752ac8def2	0d8e9082-ebf6-4511-9543-c12e22057b2b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-FP-7735	TCGA-FP-7735-01A	Primary Tumor
d83b729b-00a6-405f-bcf7-7a445329cfda	36414e85-df5b-48b1-aac7-99a200289288.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-FP-7735	TCGA-FP-7735-11A	Solid Tissue Normal
397b57db-ab6a-4088-9106-9ecadcb59f53	6faaeb84-a771-4f31-88f6-df304396340d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HF-7134	TCGA-HF-7134-01A	Primary Tumor
ec4af4bb-2de5-4489-95bc-95dc8ae8df39	e01c2917-39de-4d7d-bcc2-710ee3f18555.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-8570	TCGA-D7-8570-01A	Primary Tumor
671375b5-c164-4fee-a46e-0b8adfe7dce6	18d93e95-6063-470e-9fc2-b3387a786713.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-IN-AB1X	TCGA-IN-AB1X-01A	Primary Tumor
fc9c9c65-6c7b-4fa7-87c2-dcc7d6906350	ebbe416a-c579-4822-96df-66f90af4ecab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-IN-AB1X	TCGA-IN-AB1X-11A	Solid Tissue Normal
e06c4d6b-c3c8-43d9-9a07-fdd1112270f0	f66a8eaf-07a1-4c10-9291-3008cc94c467.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-A4J8	TCGA-BR-A4J8-01A	Primary Tumor
5b21baf7-ee3e-4469-b4cc-40b9340e3e9b	da183024-4c3d-41cf-8536-e2db382266c2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-7958	TCGA-BR-7958-01A	Primary Tumor
a4bd5d94-5d97-4e9a-9974-dcfe86295de1	06249d27-c874-4e12-a973-6c4de7f30eb8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CD-A4MH	TCGA-CD-A4MH-01A	Primary Tumor
c7ddb1a5-2082-4138-8535-d4cf866d35bd	af53e8b9-585a-4eae-8263-170730481ae7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-RD-A8N0	TCGA-RD-A8N0-01A	Primary Tumor
